,SN_name,Bmax,eBmax,stretch,err_stretch,Vmax,eVmax,color,e_color,log_Mass,e_logMass,redshift
120,SN2006mp,16.006,0.007,1.052,0.018,15.925,0.009,0.081,0.011,9.803,0.17,0.0227990057319
121,SN1998ec,16.25,0.043,0.979,0.011,15.944,0.024,0.306,0.049,10.767,0.171,0.0201
122,SN2010Y,15.049,0.014,0.658,0.009,14.995,0.008,0.054,0.016,10.185,0.157,0.0112250130624
123,SN1998eg,16.189,0.012,0.957,0.024,16.12,0.007,0.069,0.014,10.827,0.149,0.0236171036959
124,SN2000cn,16.573,0.019,0.657,0.026,16.411,0.014,0.162,0.024,11.041,0.164,0.0232076905668
125,SN2001en,15.14,0.086,0.918,0.031,14.992,0.058,0.148,0.104,10.742,0.158,0.015444220975
126,SN2003fa,16.708,0.019,1.219,0.017,16.687,0.01,0.021,0.021,10.962,0.153,0.0401637516916
127,SN2009D,15.749,0.071,1.049,0.041,15.709,0.046,0.04,0.085,10.509,0.154,0.0246628429741
128,SN2007O,16.841,0.102,0.974,0.041,16.712,0.063,0.129,0.12,10.899,0.161,0.0365868210793
129,SN1993ae,15.398,0.03,0.794,0.013,15.331,0.02,0.067,0.036,10.323,0.156,0.0169262420386
130,SN1998ef,14.85,0.03,0.861,0.02,14.855,0.021,-0.005,0.037,10.404,0.148,0.016024671495
131,SN2008051,16.597,0.083,1.189,0.045,16.683,0.054,-0.086,0.099,10.035,0.179,0.0390846207738
132,SN1994Q,16.42,0.051,1.205,0.026,16.302,0.031,0.118,0.06,10.105,0.167,0.0295564010739
133,SN1994S,14.797,0.014,1.017,0.017,14.784,0.015,0.013,0.021,10.568,0.145,0.0161136966199
134,SN2008bw,16.817,0.07,0.849,0.026,16.855,0.045,-0.038,0.083,11.157,0.155,0.0327615253627
135,SN2006ac,16.206,0.013,0.87,0.009,16.003,0.007,0.203,0.015,11.057,0.158,0.0239493455738
136,SN2008C,15.684,0.062,0.928,0.032,15.485,0.047,0.199,0.078,10.612,0.16,0.0170783828944
137,SN2006cj,18.196,0.055,1.091,0.097,18.181,0.039,0.015,0.067,10.792,0.166,0.06839191
138,SN2005kc,15.58,0.007,0.904,0.008,15.363,0.006,0.217,0.009,11.222,0.158,0.0138991074637
139,SN2010H,15.284,0.074,0.846,0.029,15.257,0.051,0.027,0.09,10.741,0.153,0.0162116121501
